Teenhome,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Response,Total_Purchases
0,7,0,0,0,0,0,0,3,1,25
1,5,0,0,0,0,0,0,3,0,6
0,4,0,0,0,0,0,0,3,0,21
0,6,0,0,0,0,0,0,3,0,8
0,5,0,0,0,0,0,0,3,0,19
1,6,0,0,0,0,0,0,3,0,22
1,6,0,0,0,0,0,0,3,0,21
0,8,0,0,0,0,0,0,3,0,10
0,9,0,0,0,0,0,0,3,1,6
1,20,1,0,0,0,0,0,3,0,2
0,7,0,0,0,0,0,0,3,0,4
0,8,0,0,0,0,0,0,3,0,6
0,2,0,0,0,0,0,0,3,0,16
1,6,0,0,0,0,0,0,3,0,15
0,8,0,0,0,0,0,0,3,0,5
0,3,0,0,1,1,0,0,3,1,26
1,8,0,0,0,0,0,0,3,0,9
0,7,0,0,0,0,0,0,3,0,13
1,5,0,0,0,1,0,0,3,0,26
0,6,0,0,0,0,0,0,3,0,8
0,8,0,0,0,0,0,0,3,0,12
0,1,0,0,0,0,0,0,3,0,43
1,8,0,1,0,0,0,0,3,0,17
1,4,0,0,0,0,0,0,3,0,20
1,8,0,0,0,0,0,0,3,0,20
0,7,0,0,0,0,0,0,3,0,8
1,7,0,0,0,0,0,0,3,0,14
0,1,0,0,0,0,0,0,3,0,27
0,3,0,0,0,0,0,0,3,0,9
0,2,0,0,1,0,0,0,3,0,26
0,5,0,0,0,0,0,0,3,0,8
0,3,0,0,0,0,0,0,3,0,11
1,5,0,1,0,0,0,0,3,0,9
2,6,0,0,0,0,0,0,3,1,17
0,7,0,0,0,0,0,0,3,0,18
1,7,0,0,0,0,0,0,3,0,6
1,2,0,0,0,0,0,0,3,0,28
0,7,0,0,0,0,0,0,3,0,9
1,5,0,0,0,0,0,0,3,0,7
0,6,1,0,0,0,0,0,3,1,24
1,4,0,0,0,0,0,0,3,0,21
0,8,0,0,0,0,0,0,3,0,7
1,5,0,0,0,0,0,0,3,0,4
0,2,0,0,0,0,0,0,3,0,9
0,5,0,0,0,0,0,0,3,0,8
0,1,0,0,0,0,0,0,3,0,16
0,9,0,0,0,0,0,0,3,1,10
0,10,0,0,0,0,0,0,3,0,5
1,6,0,0,0,0,0,0,3,0,10
1,8,0,0,0,0,0,0,3,0,28
1,2,0,0,0,0,0,0,3,0,17
0,3,0,0,0,0,0,0,3,0,29
0,7,0,0,0,0,0,0,3,0,7
0,1,1,0,0,1,0,0,3,1,21
1,3,0,0,0,0,0,0,3,0,23
0,1,0,0,1,0,0,0,3,1,27
0,3,0,0,0,0,0,0,3,1,21
0,3,0,0,0,0,0,0,3,0,6
0,6,0,0,0,0,0,0,3,0,7
1,7,0,0,0,0,0,0,3,0,19
0,1,0,1,1,0,0,0,3,1,21
1,3,0,0,0,0,0,0,3,0,22
1,7,0,0,0,0,0,0,3,0,24
1,5,0,0,0,0,0,0,3,0,19
0,4,0,0,0,0,0,0,3,0,16
0,7,0,0,0,0,0,0,3,1,5
1,7,0,0,0,0,0,0,3,0,4
1,5,1,0,0,1,0,0,3,1,32
1,4,0,0,0,0,0,0,3,0,18
2,5,0,0,0,0,0,0,3,0,19
0,3,0,0,0,0,0,0,3,0,21
0,8,0,0,0,0,0,0,3,0,9
1,7,0,0,0,0,0,0,3,0,30
1,7,0,1,0,0,0,0,3,0,24
0,2,0,0,0,0,0,0,3,0,8
0,6,0,0,0,0,0,0,3,0,4
0,5,0,0,0,0,0,0,3,1,19
0,4,1,0,0,0,0,0,3,1,22
0,3,0,0,0,0,0,1,3,0,4
0,8,1,0,0,0,0,0,3,1,21
0,8,0,0,0,0,0,0,3,0,12
0,7,0,0,0,0,0,0,3,0,4
0,7,0,0,0,0,0,0,3,0,9
0,3,0,0,0,0,0,0,3,0,11
0,1,0,0,0,0,0,0,3,0,27
1,7,0,0,0,0,0,0,3,0,7
1,7,0,1,0,0,0,0,3,0,13
1,7,0,1,0,1,0,0,3,1,17
0,2,0,0,1,0,0,0,3,0,19
1,2,0,0,0,0,0,0,3,0,10
1,9,0,0,0,0,0,0,3,0,29
1,7,0,0,0,0,0,0,3,0,4
0,1,0,0,0,0,0,0,3,0,15
0,7,0,0,0,0,0,0,3,0,5
0,5,0,0,0,0,0,0,3,0,10
0,6,0,0,0,0,0,0,3,0,6
1,6,0,1,0,0,0,0,3,0,22
1,7,0,0,0,0,0,0,3,0,7
0,2,0,0,0,1,0,0,3,0,25
0,5,0,0,0,0,0,0,3,0,16
1,8,0,0,0,0,0,0,3,0,7
1,6,0,0,0,0,0,0,3,0,7
